,Date,Time,Current,RPM
386,2019-12-02,14:48:39.244462,['-1.20'],['1668.98']
387,2019-12-02,14:48:39.260718,['-2.21'],['1662.51']
388,2019-12-02,14:48:39.292561,['-1.54'],['1661.13']
389,2019-12-02,14:48:39.324249,['2.19'],['1668.52']
390,2019-12-02,14:48:39.356341,['2.58'],['1671.77']
391,2019-12-02,14:48:39.388222,['-2.15'],['1669.91']
392,2019-12-02,14:48:39.420094,['-2.43'],['1663.89']
393,2019-12-02,14:48:39.451863,['1.94'],['1663.89']
394,2019-12-02,14:48:39.468209,['2.30'],['1665.28']
395,2019-12-02,14:48:39.499901,['0.16'],['1663.89']
396,2019-12-02,14:48:39.531880,['-2.19'],['1662.97']
397,2019-12-02,14:48:39.563749,['-2.32'],['1660.67']
398,2019-12-02,14:48:39.595526,['2.17'],['1672.24']
399,2019-12-02,14:48:39.627555,['2.52'],['1668.06']
400,2019-12-02,14:48:39.659457,['-2.16'],['1662.05']
401,2019-12-02,14:48:39.691132,['-2.38'],['1659.75']
402,2019-12-02,14:48:39.707368,['1.25'],['1658.83']
403,2019-12-02,14:48:39.739306,['2.25'],['1669.91']
404,2019-12-02,14:48:39.770904,['1.43'],['1663.43']
405,2019-12-02,14:48:39.802824,['-2.21'],['1657.00']
406,2019-12-02,14:48:39.834589,['-2.52'],['1659.29']
407,2019-12-02,14:48:39.866880,['2.19'],['1657.92']
408,2019-12-02,14:48:39.882915,['2.51'],['1671.31']
409,2019-12-02,14:48:39.914851,['-1.99'],['1663.89']
410,2019-12-02,14:48:39.946591,['-2.32'],['1662.51']
411,2019-12-02,14:48:39.978510,['-0.08'],['1655.63']
412,2019-12-02,14:48:40.010316,['2.22'],['1657.46']
413,2019-12-02,14:48:40.042452,['2.30'],['1668.98']
414,2019-12-02,14:48:40.074345,['-2.26'],['1661.59']
415,2019-12-02,14:48:40.106194,['-2.47'],['1660.67']
416,2019-12-02,14:48:40.122436,['2.09'],['1672.71']
417,2019-12-02,14:48:40.154229,['2.44'],['1667.59']
